epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,87.0359,3.141,0.40752,0.68495,2.60884,0.000110288,0.000110288,0.000110288
2,171.303,2.13035,0.64734,0.86207,1.34933,0.000213986,0.000213986,0.000213986
3,254.184,1.29831,0.78683,0.95455,0.82755,0.000310357,0.000310357,0.000310357
4,337.13,0.83925,0.85266,0.98746,0.50319,0.000300033,0.000300033,0.000300033
5,421.598,0.64166,0.88401,0.9953,0.36613,0.000289044,0.000289044,0.000289044
6,506.377,0.51616,0.91536,0.9953,0.27627,0.000278055,0.000278055,0.000278055
7,589.246,0.4783,0.92163,0.99687,0.25081,0.000267066,0.000267066,0.000267066
8,671.698,0.41719,0.9185,1,0.22146,0.000256077,0.000256077,0.000256077
9,755.361,0.37686,0.93887,1,0.19183,0.000245088,0.000245088,0.000245088
10,838.032,0.33274,0.95455,1,0.15708,0.000234099,0.000234099,0.000234099
11,920.416,0.32076,0.94671,1,0.16748,0.00022311,0.00022311,0.00022311
12,1003.51,0.30609,0.95611,1,0.14178,0.000212121,0.000212121,0.000212121
13,1086.62,0.24916,0.95768,1,0.14328,0.000201132,0.000201132,0.000201132
14,1170.36,0.27,0.95455,1,0.13258,0.000190143,0.000190143,0.000190143
15,1254.06,0.25026,0.95768,1,0.11427,0.000179154,0.000179154,0.000179154
